PATTERN,AT00Z2IN,AT00Z2RE,AT00Z2TE,AT00Z2TR
"M01,D20,H21",0.0,0.0,0.0,0.0
"M01,D20,H22",0.0,0.0,0.0,0.0
"M01,D20,H23",0.0,0.0,0.0,0.0
"M01,D20,H24",0.0,0.0,0.0,0.0
"M01,D21,H1",0.0,0.0,0.0,0.0
"M01,D21,H2",0.0,0.0,0.0,0.0
"M01,D21,H3",0.0,0.0,0.0,0.0
"M01,D21,H4",0.0,0.0,0.0,0.0
"M01,D21,H5",0.0,0.0,0.0,0.0
"M01,D21,H6",0.0,0.0,0.0,0.0
"M01,D21,H7",0.0,0.0,0.0,0.0
"M01,D21,H8",0.0,0.0,0.0,0.0
"M01,D21,H9",0.0,0.0,0.0,0.0
"M01,D21,H10",0.0,0.0,0.0,0.0
"M01,D21,H11",0.0,0.0,0.0,0.0
"M01,D21,H12",0.0,0.0,0.0,0.0
"M01,D21,H13",0.0,0.0,0.0,0.0
"M01,D21,H14",0.0,0.0,0.0,0.0
"M01,D21,H15",0.0,0.0,0.0,0.0
"M01,D21,H16",0.0,0.0,0.0,0.0
"M01,D21,H17",0.0,0.0,0.0,0.0
"M01,D21,H18",0.0,0.0,0.0,0.0
"M01,D21,H19",0.0,0.0,0.0,0.0
"M01,D21,H20",0.0,0.0,0.0,0.0
"M01,D21,H21",0.0,0.0,0.0,0.0
"M01,D21,H22",0.0,0.0,0.0,0.0
"M01,D21,H23",0.0,0.0,0.0,0.0
"M01,D21,H24",0.0,0.0,0.0,0.0
"M01,D22,H1",0.0,0.0,0.0,0.0
"M01,D22,H2",0.0,0.0,0.0,0.0
"M01,D22,H3",0.0,0.0,0.0,0.0
"M01,D22,H4",0.0,0.0,0.0,0.0
"M01,D22,H5",0.0,0.0,0.0,0.0
"M01,D22,H6",0.0,0.0,0.0,0.0
"M01,D22,H7",0.0,0.0,0.0,0.0
"M01,D22,H8",0.0,0.0,0.0,0.0
"M01,D22,H9",0.0,0.0,0.0,0.0
"M01,D22,H10",0.0,0.0,0.0,0.0
"M01,D22,H11",0.0,0.0,0.0,0.0
"M01,D22,H12",0.0,0.0,0.0,0.0
"M01,D22,H13",0.0,0.0,0.0,0.0
"M01,D22,H14",0.0,0.0,0.0,0.0
"M01,D22,H15",0.0,0.0,0.0,0.0
"M01,D22,H16",0.0,0.0,0.0,0.0
"M01,D22,H17",0.0,0.0,0.0,0.0
"M01,D22,H18",0.0,0.0,0.0,0.0
"M01,D22,H19",0.0,0.0,0.0,0.0
"M01,D22,H20",0.0,0.0,0.0,0.0
"M01,D22,H21",0.0,0.0,0.0,0.0
"M01,D22,H22",0.0,0.0,0.0,0.0
"M01,D22,H23",0.0,0.0,0.0,0.0
"M01,D22,H24",0.0,0.0,0.0,0.0
